case,case,descript
clift,locke,How does the reasoning of one or both judges in this case reflect Locke's story about possession as the basis of property?
clift,armorie,"Is it correct to say that the court in Clift decides who owns the seals and who does not? Is it possible that both parties have legal entitlements to the seals, though one might receive priority over the other? "
clift,liberalism,How might you characterize the styles of reasoning and argument employed by Judges Hoyles and Robinson in this case?
clift,harrison, Do the judges styles of reasoning in this case more closely resemble that of Justice Dickson or Justice Laskin?
clift,abandonment,Is it possible to abandon wild seals once possession has established property rights in them? What steps if any would the sealers need to take?
armorie,locke,"How does Armorie v Delamirie complicate the link between possession and property that Locke is trying to establish? How is a ""found"" object similar to or diffferent from things in Locke's ""state of nature""?"
armorie,keron,What are the necessary elements to a claim for possession and how do these play out differently in Armorie and in Keron v Cashman? How do they relate to the remedy?
asher,piper,"Here the court finds that ""possession is good title against all but the true owner"". Can possession ever be good against the true owner themselves?"
popov,clift,How does the style of reasoning in this case compare to that employed by the judges in Clift v Kane? 
popov,locke,Does Justice McCarthy's analysis accord with a Lockean view of first possession?
annapolis,cpr,"The majority in the Annapolis decision claim that they have clarified, but not changed, the test for constructive expropriation from CPR. Is this an accurate claim? Would the City of Vancouver in CPR be found to have gained an ""advantage"" according to the majority's view in Annapolis? "
annapolis,mclaren,How does the majority in Annapolis (citing De Keyser's Royal Hotel) draw on the principle of statutory interpretation articulated by the Supreme Court in McLaren v Caldwell? Does it alter this principle in any way?
black,shelfer,Justice Middleton cites the Shelfer case in discussing the court's discretion on the issue of remedy. What legal framework does the Shelfer provide and how is it applied by the court in Black v Canadian Copper?
black,canada-paper,The facts here seem similar in many respects to those in Canada Paper Co v Brown. Why do the courts reach different conclusions on the issue of remedy? 
canada-paper,shelfer,"At least one judge in this case cites the Shelfer decision. What legal framework does Shelfer provide and how is it applied, if at all, by the judges in Canada Paper v Brown?"
canada-paper,black,The facts here seem similar in many respects to those in Black v Canadian Copper Co. Why do the courts reach different conclusions on the issue of remedy? 
canada-trust,mccorkill,Does the Court in McCorkill extend the public policy doctrine expressed by the court in Canada Trust? 
canada-trust,drummond,"While Re Drummond Wren deals with a restrictive covenant, is the doctrine expressed in that case the same or similar to the one described here? How?  "
cappy,saintromuald,Is the finding in Cappy consistent with the Supreme Court's test for acquired rights estblished in Saint-Romuald? 
cpr,annapolis,"In the Annapolis case, the Supreme Court further ""clarifies"" the emerging test for de facto expropriation established in CPR. Is that clarified test consistent with the result in CPR on its facts?"
delgamuukw,tsilhqotin,"In Tsilhqot'in, the Supreme Court continued to develop the framework established in Delgamuukw, resulting in the first successful claim in an Anglo-Canadian court. "
drummond,noble,"On similar facts, Noble and Wolfe v Alley comes before the Ontario Court of Appeal just a few years later. Does the Court follow Re Drummond Wren? Why or why not?"
drummond,tulk,Notice that the judge here does not cite Tulk v Moxhay but rather focuses heavily on the statutory context. Is there a reason for this?
drummond,blackburn,Why does the potential restraint on alienation in this case not fall within the potential exceptions discussed in Blackburn?
duthie,adams-stangerross,"In Adams and Stanger-Ross' view, how should the obligations of the trustee of Japanese Canadians' property be conceived? Are these consistent with the characterization in Duthie?"
guerin,stcatherines,What has changed with respect to the common law doctrine of Aboriginal title between St Cahterine's Milling and Guerin? 
guerin,southwind,The fiduciary duty identified in Guerin has been an important basis for the Crown's obligations in dealing with reserve lands under the federal Indian Act. 
harrison,protection-property,"How do the judges' definitions of ""possession"" in this case affect the interpretation of the Protection of Property Act? "
iwasaki,adams-stangerross,The authors in this excerpt disagree with the court's conclusion in Iwasaki related to the characterization of a trust and breach of that trust. What aspects of the Orders in Council issued are important for making that argument?
iwasaki,mclaren,Nowhere is the Iwasaki decision does the plaintiff claim or the court discuss the idea that the Canadian government expropriated the property of Japanese Canadians. Why do you think such a claim was omitted? 
keefer,piper,The Ontario Court of Appeal in Keefer builds on the legal framework that is early developed in Piper. What is the test for adverse possession that emerges from the Court of Appeal's analysis? 
keefer,kosicki,How does the law of adverse possession differ with respect to private and public land?
keron,armorie,"What is the basic legal principle, sometimes expressed as ""finders keepers"", at work in this case? Where is that princple found in Armorie v Delamirie?"
locke,wildlife,"What does Locke mean by the ""state of nature""? Do you think he means the same thing as the ""state of nature"" identified in the Wildlife Act?"
locke,pierson,"In his story, Locke's idea about how one establishes possession as the basis of property is portrayed as self-evident. Does this hold true when applied to the facts of Pierson v Post?"
locke,armorie,In what way does the approach to possession in Armorie v Delamairie complicate the story about possession and ownership told by Locke?
mariner,expropriation-act,"How does Justice Cromwell's decision in Mariner fill in the interpretive ""gaps"" in Nova Scotia's expropriation statute in cases of constructive takings? "
mariner,cpr,"In this case, the Supreme Court picks up on the analysis in Mariner as the basis for a new test in cases of constructive expropriation. Does it reach the right result?"
mariner,liberalism,In what ways is Justice Cromwell's decision in this case consistent or inconsistent with the modern style of Anglo-Canadian legal thought? 
mclaren,water-rights,"In order to understand what is going on in this case, it is helpful to start with a basic understanding of 'riparian rights'."
mclaren,rivers-and-streams-act,"In response to the Supreme Court's decision in McLaren v Caldwell, the Ontario legislature enacted the Rivers and Streams Act. How did this new legislation change or clarify the statutory provision(s) at issue in the McLaren case?"
nobel,canada-trust,The Ontario Court of Appeal in Canada Trust addresses the same broad question of whether and how Anglo-Canadian property law can confront attempts by owners to control their property toward discriminatory ends. How does the Court of Appeal's approach to this question differ from the Supreme Court in Noble v Alley?
shelfer,black,The court in Black v Canadian Copper Co appears to apply the test in Shelfer. What does it conclude? 
shelfer,canada-paper,The court in Canada Paper Co v Brown applies the test in Shelfer. What does it conclude? 
stcatherines,indian-act,What role do reserve lands play in the courts' reasoning in St. Catherine's Milling? 
stcatherines,tenure,How does the doctrine of tenure shape the courts' approach to Indigenous land rights? Are these rights the same as or different than a common law 'estate in land'?
stcatherines,terra-nullius,"Although not mentioned explicitly in the case, the doctrine of terra nullius looms large in St. Catherine's Milling. How is that doctrine expressed and utilized here?"
